local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,81209857,582010
Alta Floresta D'Oeste (RO),17787,59
Ariquemes (RO),11801,971
Cabixi (RO),46947,29
Cacoal (RO),15395,291
Cerejeiras (RO),67426,7
Colorado do Oeste (RO),5358,206
Corumbiara (RO),69127,29
Costa Marques (RO),1194,-
Espigão D'Oeste (RO),5298,15
Guajará-Mirim (RO),753,5
Jaru (RO),2752,970
Ji-Paraná (RO),818,184
Machadinho D'Oeste (RO),12915,189
Nova Brasilândia D'Oeste (RO),6664,8
Ouro Preto do Oeste (RO),1850,1275
Pimenta Bueno (RO),1987,4
Porto Velho (RO),54583,343
Presidente Médici (RO),1205,73
Rio Crespo (RO),25825,10
Rolim de Moura (RO),5659,36
Santa Luzia D'Oeste (RO),3054,44
Vilhena (RO),77353,10
São Miguel do Guaporé (RO),31385,3
Nova Mamoré (RO),5079,25
Alvorada D'Oeste (RO),2370,63
Alto Alegre dos Parecis (RO),23100,44
Alto Paraíso (RO),30588,47
Buritis (RO),7498,1027
Novo Horizonte do Oeste (RO),4715,10
Cacaulândia (RO),1072,435
Campo Novo de Rondônia (RO),2491,85
Candeias do Jamari (RO),10553,52
Castanheiras (RO),4329,8
Chupinguaia (RO),54232,5
Cujubim (RO),20006,93
Governador Jorge Teixeira (RO),1718,500
Itapuã do Oeste (RO),4955,16
Ministro Andreazza (RO),6275,74
Mirante da Serra (RO),2816,130
Monte Negro (RO),1163,130
Nova União (RO),1195,349
Parecis (RO),2523,8
Pimenteiras do Oeste (RO),64414,-
Primavera de Rondônia (RO),550,5
São Felipe D'Oeste (RO),1822,62
São Francisco do Guaporé (RO),5093,15
Seringueiras (RO),7113,29
Teixeirópolis (RO),321,55
Theobroma (RO),3480,582
Urupá (RO),728,208
Vale do Anari (RO),2897,228
Vale do Paraíso (RO),658,325
Acrelândia (AC),4358,-
Assis Brasil (AC),1739,-
Brasiléia (AC),3413,-
Bujari (AC),3254,-
Capixaba (AC),4323,-
Cruzeiro do Sul (AC),4757,-
Epitaciolândia (AC),2906,-
Feijó (AC),7069,-
Jordão (AC),1289,-
Mâncio Lima (AC),3396,-
Manoel Urbano (AC),1775,-
Marechal Thaumaturgo (AC),3718,-
Plácido de Castro (AC),3326,-
Porto Walter (AC),1433,-
Rio Branco (AC),6013,-
Rodrigues Alves (AC),3473,-
Santa Rosa do Purus (AC),899,-
Senador Guiomard (AC),4296,-
Sena Madureira (AC),5511,-
Tarauacá (AC),7145,-
Xapuri (AC),3568,-
Porto Acre (AC),4242,-
Alvarães (AM),5419,11
Amaturá (AM),379,-
Anamã (AM),495,-
Anori (AM),572,-
Apuí (AM),1674,42
Atalaia do Norte (AM),493,-
Autazes (AM),5392,41
Barcelos (AM),101,-
Barreirinha (AM),115,-
Benjamin Constant (AM),750,-
Beruri (AM),138,-
