local,total_area_plantada_hectare,total_cacau_semente_hectare
Brasil,91085368,590847
Alta Floresta D'Oeste (RO),10451,55
Ariquemes (RO),13246,255
Cabixi (RO),54157,8
Cacoal (RO),8902,120
Cerejeiras (RO),64181,1
Colorado do Oeste (RO),6100,37
Corumbiara (RO),71275,4
Costa Marques (RO),1509,-
Espigão D'Oeste (RO),4585,3
Guajará-Mirim (RO),1196,-
Jaru (RO),2539,1391
Ji-Paraná (RO),1417,184
Machadinho D'Oeste (RO),20298,256
Nova Brasilândia D'Oeste (RO),9746,15
Ouro Preto do Oeste (RO),5743,1275
Pimenta Bueno (RO),6590,8
Porto Velho (RO),66018,363
Presidente Médici (RO),800,30
Rio Crespo (RO),45948,10
Rolim de Moura (RO),11412,61
Santa Luzia D'Oeste (RO),10214,44
Vilhena (RO),88972,2
São Miguel do Guaporé (RO),58383,10
Nova Mamoré (RO),13334,-
Alvorada D'Oeste (RO),2663,15
Alto Alegre dos Parecis (RO),12081,5
Alto Paraíso (RO),27606,47
Buritis (RO),8586,1042
Novo Horizonte do Oeste (RO),6288,10
Cacaulândia (RO),606,405
Campo Novo de Rondônia (RO),2192,113
Candeias do Jamari (RO),47395,67
Castanheiras (RO),6974,4
Chupinguaia (RO),70859,2
Cujubim (RO),25323,12
Governador Jorge Teixeira (RO),1380,535
Itapuã do Oeste (RO),25313,7
Ministro Andreazza (RO),6367,30
Mirante da Serra (RO),3507,80
Monte Negro (RO),1207,164
Nova União (RO),898,349
Parecis (RO),5809,2
Pimenteiras do Oeste (RO),87433,-
Primavera de Rondônia (RO),2481,3
São Felipe D'Oeste (RO),5232,80
São Francisco do Guaporé (RO),11691,7
Seringueiras (RO),14019,27
Teixeirópolis (RO),256,55
Theobroma (RO),3335,206
Urupá (RO),543,84
Vale do Anari (RO),4575,30
Vale do Paraíso (RO),321,50
Acrelândia (AC),3931,-
Assis Brasil (AC),1665,-
Brasiléia (AC),3790,-
Bujari (AC),2965,-
Capixaba (AC),6654,-
Cruzeiro do Sul (AC),4619,-
Epitaciolândia (AC),3821,-
Feijó (AC),6242,-
Jordão (AC),1266,-
Mâncio Lima (AC),3155,-
Manoel Urbano (AC),1717,-
Marechal Thaumaturgo (AC),3376,-
Plácido de Castro (AC),9178,-
Porto Walter (AC),1430,-
Rio Branco (AC),7603,-
Rodrigues Alves (AC),3112,-
Santa Rosa do Purus (AC),919,-
Senador Guiomard (AC),5865,-
Sena Madureira (AC),4861,-
Tarauacá (AC),6142,-
Xapuri (AC),5214,-
Porto Acre (AC),4772,-
Alvarães (AM),5318,-
Amaturá (AM),399,-
Anamã (AM),374,-
Anori (AM),576,-
Apuí (AM),1842,50
Atalaia do Norte (AM),503,-
Autazes (AM),5951,40
Barcelos (AM),81,-
Barreirinha (AM),249,-
Benjamin Constant (AM),666,-
Beruri (AM),400,-
Boa Vista do Ramos (AM),565,-
Boca do Acre (AM),2378,240
Borba (AM),1579,145
Caapiranga (AM),365,-
Canutama (AM),345,-
Carauari (AM),1027,-
Careiro (AM),1122,-
Careiro da Várzea (AM),743,-
Coari (AM),1744,170
Codajás (AM),5274,20
